full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
   232 Russia (A883 BA),10.59,54.73,0.031,2461000.5,0.1715243168915451,2.554708445121826,2.116513824215243,6.066110817109418,2.992903066028409,1.11862,0.0,0.21791
   233 Asterope (A883 JA),8.43,99.672,0.094,2461000.5,0.1016407593045489,2.658789536266182,2.388548148969098,7.6907313628083,2.929030923563265,1.39127,0.0,0.33153
   234 Barbara (A883 PA),9.12,45.476,0.205,2461000.5,0.2461141284446203,2.384413407671648,1.797575579990873,15.38441896835477,2.971251235352423,0.788437,0.0,0.20665
   235 Carolina (A883 WA),8.98,57.517,0.177,2461000.5,0.0601368998878936,2.88164768315125,2.708354324917403,9.029523655822478,3.054941041385098,1.69425,0.0,0.23125
   236 Honoria (A884 HA),8.19,77.708,0.156,2461000.5,0.1896686646428908,2.799687296338855,2.268674345424599,7.697360769308899,3.33070024725311,1.26459,0.0,0.35657
   237 Coelestina (A884 MA),9.16,41.08,0.2108,2461000.5,0.0743781795553725,2.761273271984485,2.555894792759372,9.762155782325047,2.966651751209598,1.54049,0.0,0.28046
   238 Hypatia (A884 NA),8.04,155.659,0.039,2461000.5,0.0917599124827288,2.905019778115885,2.638455417515375,12.40639711693673,3.171584138716395,1.64857,0.0,0.36717
   239 Adrastea (A884 QA),10.49,37.609,0.095,2461000.5,0.2355733352985915,2.965646110146698,2.267018964664146,6.175141912848055,3.664273255629249,1.27369,0.0,0.34845
   240 Vanadis (A884 QB),9.15,87.928,0.031,2461000.5,0.2089081790518622,2.662520688173551,2.106298339519304,2.106269935339376,3.218743036827798,1.11843,0.0,0.38749
   241 Germania (A884 RA),7.75,168.9,0.0575,2461000.5,0.1062510074611469,3.045694065219557,2.722086002371543,5.517921865560552,3.369302128067571,1.72128,0.0,0.36519
   242 Kriemhild (A884 SA),9.53,40.802,0.222,2461000.5,0.1229356333601983,2.861840810145286,2.510018597574012,11.34917449808156,3.21366302271656,1.55499,0.0,0.23462
   243 Ida (A884 SB),10.08,32.0,0.262,2461000.5,0.0455482637728868,2.862543414671485,2.732159532158688,1.130114887490663,2.992927297184282,1.74719,0.0,0.271
