rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
301,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429935,0.02835,5598.0,0.901,0.997,291.7770457,1.3836634,213.283,4.66076
302,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74301433466,0.11339,5529.0,0.937741,0.7315,291.7770457,1.3836634,213.283,4.66076
303,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74299673,0.0281,5625.0,0.902,0.97,291.7770457,1.3836634,213.283,4.66076
304,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429935,0.02798,5625.0,0.906,0.96,291.7770457,1.3836634,213.283,4.66076
305,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74299673,0.11339,5529.0,0.937741,0.972,291.7770457,1.3836634,213.283,4.66076
306,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.7429975,0.11339,5625.0,0.902,0.97,291.7770457,1.3836634,213.283,4.66076
307,CoRoT-2 b,CoRoT-2,b,Transit,2008,1.74299906,0.11339,4651.4349999999995,0.77,0.7315,291.7770457,1.3836634,213.283,4.66076
308,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.24285,0.0902,5880.0,1.02,1.14,97.7204249,0.2268931,844.061,1.15699
309,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.2432302936,0.11339,5880.0,1.29981,0.7315,97.7204249,0.2268931,844.061,1.15699
310,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.24285,0.0901,5880.0,1.02,1.14,97.7204249,0.2268931,844.061,1.15699
311,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.24285,0.0892,5880.0,1.34,1.11,97.7204249,0.2268931,844.061,1.15699
312,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.24318,0.0891,4651.4349999999995,1.16,1.1,97.7204249,0.2268931,844.061,1.15699
313,CoRoT-20 b,CoRoT-20,b,Transit,2011,9.24285,0.09,4651.4349999999995,0.77,1.14,97.7204249,0.2268931,844.061,1.15699
314,CoRoT-20 c,CoRoT-20,c,Radial Velocity,2018,1675.0,2.9,4651.4349999999995,0.77,1.14,97.7204249,0.2268931,844.061,1.15699
317,CoRoT-22 b,CoRoT-22,b,Transit,2014,9.75598,0.092,5939.0,1.136,1.099,280.6671392,6.2191669,627.158,1.56624
318,CoRoT-23 b,CoRoT-23,b,Transit,2011,3.6313,0.048,5900.0,1.61,1.14,279.7826586,4.3577516,1060.97,0.91542
319,CoRoT-23 b,CoRoT-23,b,Transit,2011,3.6313,0.0484,5900.0,1.61,1.14,279.7826586,4.3577516,1060.97,0.91542
320,CoRoT-23 b,CoRoT-23,b,Transit,2011,3.6313,0.04809,5900.0,1.74,1.122,279.7826586,4.3577516,1060.97,0.91542
321,CoRoT-24 b,CoRoT-24,b,Transit,2014,5.1134,0.056,4950.0,0.86,0.91,101.922543,-3.7192892,591.555,1.66329
322,CoRoT-24 c,CoRoT-24,c,Transit,2014,11.759,0.098,4950.0,0.86,0.91,101.922543,-3.7192892,591.555,1.66329
323,CoRoT-25 b,CoRoT-25,b,Transit,2013,4.86069,0.0578,6040.0,1.19,1.09,280.6296561,6.5138223,1103.48,0.878853
324,CoRoT-25 b,CoRoT-25,b,Transit,2013,4.86069,0.05789,6040.0,1.19,1.09,280.6296561,6.5138223,1103.48,0.878853
327,CoRoT-27 b,CoRoT-27,b,Transit,2014,3.57532,0.0467,5900.0,1.08,1.05,278.4958319,5.5383811,1010.28,0.96604
328,CoRoT-27 b,CoRoT-27,b,Transit,2014,3.57532,0.0476,5900.0,1.08,1.05,278.4958319,5.5383811,1010.28,0.96604
329,CoRoT-28 b,CoRoT-28,b,Transit,2015,5.20851,0.059,5150.0,1.78,1.01,278.6883216,5.5736911,766.183,1.27685
330,CoRoT-28 b,CoRoT-28,b,Transit,2015,5.20851,0.0603,5150.0,1.78,1.01,278.6883216,5.5736911,766.183,1.27685
331,CoRoT-29 b,CoRoT-29,b,Transit,2015,2.85057,0.0386,5260.0,0.9,0.97,278.9020691,6.4795703,806.507,1.21562
332,CoRoT-29 b,CoRoT-29,b,Transit,2015,2.85057,0.039,5260.0,0.9,0.97,278.9020691,6.4795703,806.507,1.21562
333,CoRoT-29 b,CoRoT-29,b,Transit,2015,2.8505615,0.11339,5268.0,1.07719,0.9,278.9020691,6.4795703,806.507,1.21562
