full_name,H,diameter,albedo,epoch,e,a,q,i,ad,moid,condition_code,rms
     C/1849 G1 (Schweizer),,,,2396560.5,0.998427,568.5696122,0.89436,66.9587,1136.2448644,,,
     C/1849 G2 (Goujon),,,,2396520.5,1.00094,-1233.4106383,1.159406,67.1526,,,,
     C/1850 J1 (Petersen),,,,2396960.5,0.998599,771.89793,1.081429,68.1848,1542.7144311,,,
     C/1850 Q1 (Bond),,,,2397050.3374,1.0,,0.565586,40.0621,,,,
     C/1851 P1 (Brorsen),,,,2397361.2458,1.0,,0.984753,38.2035,,,,
     C/1851 U1 (Brorsen),,,,2397396.7962,1.0,,0.142053,73.9862,,,,
     C/1852 K1 (Chacornac),,,,2397598.5873,1.0,,0.905406,131.1243,,,,
     C/1853 E1 (Secchi),,,,2397909.0213,1.0,,1.092195,159.7566,,,,
     C/1853 G1 (Schweizer),,,,2398000.5,0.989286,84.8136084,0.908693,122.1955,168.7185237,,,
     C/1853 L1 (Klinkerfues),,,,2398080.5,1.00025,-1227.336,0.306834,61.5008,,,,
     C/1853 R1 (Bruhns),,,,2398160.5,1.000664,-260.3358434,0.172863,118.9963,,,,
     C/1853 W1 (van Arsdale),,,,2398222.9351,1.0,,2.044645,113.8757,,,,
     C/1854 F1 (Great comet),,,,2398302.0132,1.0,,0.277064,97.4867,,,,
     C/1854 L1 (Klinkerfues),,,,2398391.997,1.0,,0.648092,108.7032,,,,
     C/1854 R1 (Klinkerfues),,,,2398520.5,0.993246,118.2650281,0.798762,40.9201,235.7312943,,,
     C/1854 Y1 (Winnecke-Dien),,,,2398568.8092,0.991309,156.4219307,1.359463,14.152,311.4843985,,,
     C/1855 G1 (Schweizer),,,,2398620.0474,0.965185,63.0051989,2.193526,128.5764,123.8168718,,,
     C/1855 L1 (Donati),,,,2398720.5,0.98578,39.9130802,0.567564,156.8707,79.2585963,,,
     C/1855 V1 (Bruhns),,,,2398913.3872,1.0,,1.230983,169.824,,,,
     C/1857 D1 (d'Arrest),,,,2399395.3691,1.0,,0.772493,87.9479,,,,
     C/1857 M1 (Klinkerfues),,,,2399513.9743,1.0,,0.367535,121.0332,,,,
