rowid,pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,st_spectype,st_teff,st_rad,st_mass,ra,dec,sy_dist,sy_plx
385,DMPP-1 c,DMPP-1,c,Radial Velocity,2019,6.584,0.0733,,,,,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,15.9613
386,DMPP-1 d,DMPP-1,d,Radial Velocity,2019,2.882,0.0422,,,,,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,15.9613
387,DMPP-1 e,DMPP-1,e,Radial Velocity,2019,5.516,0.0651,,,,,F8 V,6196.0,1.26,1.21,86.7761233,-10.6303217,62.5388,15.9613
388,DMPP-2 b,DMPP-2,b,Radial Velocity,2019,5.2072,0.0664,,,,,F5 V,6500.0,1.78,1.44,27.407731,-34.4590985,137.94,7.22084
389,DMPP-3 A b,DMPP-3 A,b,Radial Velocity,2019,6.6732,0.0662,,,,,K0 V,5138.0,0.91,0.87,91.624382,-72.5126648,45.23,22.11
390,DMPP-3 A b,DMPP-3 A,b,Radial Velocity,2019,6.6736,0.0662,,,,,,,,,91.624382,-72.5126648,45.23,22.11
391,DMPP-4 b,DMPP-4,b,Radial Velocity,2023,3.4982,0.04853,,,,,F5-F8 V,6400.0,1.38,1.25,293.5826648,51.2358069,25.3284,39.4525
392,DP Leo b,DP Leo,b,Eclipse Timing Variations,2009,8693.0,8.6,,,1995.88832,6.28,,,,,169.3162193,17.9615717,305.684,3.27807
393,DP Leo b,DP Leo,b,Eclipse Timing Variations,2009,10220.0,8.19,,,,,,,,0.69,169.3162193,17.9615717,305.684,3.27807
394,DS Tuc A b,DS Tuc A,b,Transit,2019,8.1387,,5.63,0.5,413.179,1.3,G6 V,5542.0,0.872,0.959,354.9154673,-69.196043,44.0622,22.6663
395,DS Tuc A b,DS Tuc A,b,Transit,2019,8.13822217724,,6.17576816,0.55096608,,,,5414.0,0.951985,,354.9154673,-69.196043,44.0622,22.6663
396,DS Tuc A b,DS Tuc A,b,Transit,2019,8.138268,,5.7,0.50851994,,,G6 V,5428.0,0.964,1.01,354.9154673,-69.196043,44.0622,22.6663
397,EPIC 201170410.02,EPIC 201170410,b,Transit,2020,6.7987,0.0349,1.047,0.09340708,,,,3648.0,0.282,0.287,170.1408561,-4.8070039,,
398,EPIC 201238110 b,EPIC 201238110,b,Transit,2019,28.1656,,1.87,0.16683023,,,,,,0.41,179.7058532,-3.3894613,159.259,6.25088
399,EPIC 201238110 b,EPIC 201238110,b,Transit,2019,28.1696,,2.2,0.2,,,,,0.374,,179.7058532,-3.3894613,159.259,6.25088
400,EPIC 201427007 b,EPIC 201427007,b,Transit,2021,0.72091,,1.5,0.13382127,,,,5633.0,0.94,,184.6021322,-0.5512886,706.391,1.38704
